year,latitude,longitude,aerosol
1850,-89.5,176.9,0.0223
1850,-89.5,178.1,0.0223
1850,-89.5,179.4,0.0223
1850,-89.5,180.6,0.0223
1850,-89.5,181.9,0.0223
1850,-89.5,183.1,0.0223
1850,-89.5,184.4,0.0223
1850,-89.5,185.6,0.0223
1850,-89.5,186.9,0.0223
1850,-89.5,188.1,0.0223
1850,-89.5,189.4,0.0223
1850,-89.5,190.6,0.0223
1850,-89.5,191.9,0.0223
1850,-89.5,193.1,0.0223
1850,-89.5,194.4,0.0223
1850,-89.5,195.6,0.0223
1850,-89.5,196.9,0.0223
1850,-89.5,198.1,0.0223
1850,-89.5,199.4,0.0223
1850,-89.5,200.6,0.0223
1850,-89.5,201.9,0.0223
1850,-89.5,203.1,0.0223
1850,-89.5,204.4,0.0223
1850,-89.5,205.6,0.0223
1850,-89.5,206.9,0.0223
1850,-89.5,208.1,0.0223
1850,-89.5,209.4,0.0223
1850,-89.5,210.6,0.0223
1850,-89.5,211.9,0.0223
1850,-89.5,213.1,0.0223
1850,-89.5,214.4,0.0223
1850,-89.5,215.6,0.0223
1850,-89.5,216.9,0.0223
1850,-89.5,218.1,0.0223
1850,-89.5,219.4,0.0223
1850,-89.5,220.6,0.0223
1850,-89.5,221.9,0.0223
1850,-89.5,223.1,0.0223
1850,-89.5,224.4,0.0223
1850,-89.5,225.6,0.0223
1850,-89.5,226.9,0.0223
1850,-89.5,228.1,0.0223
1850,-89.5,229.4,0.0223
1850,-89.5,230.6,0.0223
1850,-89.5,231.9,0.0223
1850,-89.5,233.1,0.0223
1850,-89.5,234.4,0.0223
1850,-89.5,235.6,0.0223
1850,-89.5,236.9,0.0223
1850,-89.5,238.1,0.0223
1850,-89.5,239.4,0.0223
1850,-89.5,240.6,0.0223
1850,-89.5,241.9,0.0223
1850,-89.5,243.1,0.0223
1850,-89.5,244.4,0.0223
1850,-89.5,245.6,0.0223
1850,-89.5,246.9,0.0223
1850,-89.5,248.1,0.0223
1850,-89.5,249.4,0.0223
1850,-89.5,250.6,0.0223
1850,-89.5,251.9,0.0223
1850,-89.5,253.1,0.0223
1850,-89.5,254.4,0.0223
1850,-89.5,255.6,0.0223
1850,-89.5,256.9,0.0223
1850,-89.5,258.1,0.0223
1850,-89.5,259.4,0.0223
1850,-89.5,260.6,0.0212
1850,-89.5,261.9,0.0212
1850,-89.5,263.1,0.0212
1850,-89.5,264.4,0.0212
1850,-89.5,265.6,0.0212
1850,-89.5,266.9,0.0212
1850,-89.5,268.1,0.0212
